0.61,0.24,0.08,0.03,0.02,0.01,0.01,0.00,0.00,0.00
0.19,0.50,0.20,0.06,0.03,0.01,0.01,0.00,0.00,0.00
0.07,0.14,0.50,0.19,0.05,0.02,0.01,0.00,0.00,0.00
0.04,0.05,0.13,0.51,0.19,0.05,0.02,0.01,0.00,0.00
0.02,0.03,0.04,0.12,0.51,0.20,0.05,0.02,0.01,0.00
0.01,0.02,0.02,0.04,0.13,0.51,0.21,0.04,0.02,0.00
0.01,0.01,0.01,0.02,0.04,0.14,0.53,0.20,0.03,0.01
0.01,0.00,0.01,0.01,0.02,0.04,0.14,0.57,0.18,0.02
0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.13,0.66,0.14
0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.11,0.85
